Customer_ID,Name,Email,Join_Date,Location,Membership_Level
7048,David,user7048@example.com,2024-05-01,Houston,Standard
7049,Liam,user7049@example.com,2022-12-01,New York,Standard
7050,Mason,user7050@example.com,2023-06-30,New York,Platinum
7051,Charlie,user7051@example.com,2024-02-15,New York,Standard
7052,Alice,user7052@example.com,2022-09-02,New York,Standard
7053,David,user7053@example.com,2022-08-09,Chicago,Standard
7054,Bob,user7054@example.com,2024-01-27,New York,Standard
7055,Mason,user7055@example.com,2024-12-16,Houston,Standard
7056,David,user7056@example.com,2024-05-18,Miami,Silver
7057,Bob,user7057@example.com,2023-11-01,New York,Silver
7058,Sophia,user7058@example.com,2023-07-25,Chicago,Standard
7059,Sophia,user7059@example.com,2022-12-25,Chicago,Silver
7060,Aiden,user7060@example.com,2024-05-13,New York,Silver
7061,David,user7061@example.com,2022-10-20,Miami,Silver
7062,Sophia,user7062@example.com,2024-06-30,New York,Standard
7063,Bob,user7063@example.com,2024-06-27,Chicago,Silver
7064,Aiden,user7064@example.com,2023-09-02,Los Angeles,Platinum
7065,Bob,user7065@example.com,2022-07-11,Houston,Standard
7066,Aiden,user7066@example.com,2022-08-14,Chicago,Gold
7067,David,user7067@example.com,2024-03-15,New York,Standard
7068,Mason,user7068@example.com,2023-03-16,Houston,Standard
7069,Liam,user7069@example.com,2024-09-15,New York,Silver
7070,Olivia,user7070@example.com,2022-10-15,New York,Silver
7071,Mason,user7071@example.com,2024-12-02,Los Angeles,Gold
7072,Emma,user7072@example.com,2023-12-09,Houston,Standard
7073,Bob,user7073@example.com,2025-02-13,Houston,Standard
7074,Emma,user7074@example.com,2023-02-24,Los Angeles,Silver
7075,Mason,user7075@example.com,2023-05-07,Chicago,Silver
7076,Aiden,user7076@example.com,2024-11-27,New York,Standard
7077,Olivia,user7077@example.com,2023-07-30,Miami,Platinum
7078,Olivia,user7078@example.com,2023-03-06,New York,Standard
7079,Alice,user7079@example.com,2023-12-28,New York,Standard
7080,Olivia,user7080@example.com,2022-09-15,Chicago,Gold
7081,Liam,user7081@example.com,2023-12-26,New York,Silver
7082,Olivia,user7082@example.com,2022-08-04,Los Angeles,Platinum
7083,Mason,user7083@example.com,2025-02-07,Los Angeles,Standard
7084,Alice,user7084@example.com,2023-09-19,Houston,Silver
7085,Mason,user7085@example.com,2023-04-10,Miami,Silver
7086,Mason,user7086@example.com,2024-05-22,New York,Platinum
7087,Charlie,user7087@example.com,2025-01-11,New York,Standard
7088,Alice,user7088@example.com,2024-01-31,Chicago,Standard
7089,Mason,user7089@example.com,2024-07-29,Los Angeles,Standard
7090,Charlie,user7090@example.com,2025-02-15,Miami,Standard
7091,Charlie,user7091@example.com,2024-10-23,Houston,Standard
7092,Alice,user7092@example.com,2024-08-04,Los Angeles,Standard
7093,Emma,user7093@example.com,2023-08-16,Houston,Standard
7094,Aiden,user7094@example.com,2024-12-25,Chicago,Gold
7095,Liam,user7095@example.com,2023-09-18,Chicago,Gold
7096,Aiden,user7096@example.com,2024-03-03,New York,Standard
7097,Olivia,user7097@example.com,2023-10-13,Miami,Standard
7098,Liam,user7098@example.com,2023-03-03,Houston,Silver
7099,Olivia,user7099@example.com,2024-05-18,Los Angeles,Standard
7100,Mason,user7100@example.com,2023-05-25,Chicago,Standard
