Customer_ID,Name,Email,Join_Date,Location,Membership_Level
2099,Olivia,user2099@example.com,2023-07-07,Chicago,Standard
2100,Mason,user2100@example.com,2023-05-04,New York,Standard
2101,Bob,user2101@example.com,2024-03-29,Los Angeles,Standard
2102,Alice,user2102@example.com,2024-04-08,New York,Gold
2103,Liam,user2103@example.com,2023-03-13,Los Angeles,Standard
2104,Liam,user2104@example.com,2024-03-23,Houston,Standard
2105,Mason,user2105@example.com,2023-09-22,Houston,Standard
2106,Emma,user2106@example.com,2024-03-02,Houston,Silver
2107,Charlie,user2107@example.com,2023-03-25,New York,Standard
2108,Mason,user2108@example.com,2022-08-06,Miami,Standard
2109,Sophia,user2109@example.com,2023-06-08,Los Angeles,Standard
2110,Charlie,user2110@example.com,2024-04-10,Houston,Silver
2111,Alice,user2111@example.com,2024-07-03,Los Angeles,Silver
2112,Charlie,user2112@example.com,2024-09-27,New York,Silver
2113,Emma,user2113@example.com,2022-10-13,Miami,Gold
2114,Charlie,user2114@example.com,2025-01-04,New York,Platinum
2115,Alice,user2115@example.com,2023-06-30,Los Angeles,Standard
2116,Emma,user2116@example.com,2022-10-23,Miami,Silver
2117,Aiden,user2117@example.com,2024-11-08,Miami,Silver
2118,Liam,user2118@example.com,2024-02-09,New York,Gold
2119,Liam,user2119@example.com,2024-03-03,Houston,Standard
2120,Olivia,user2120@example.com,2023-03-19,Los Angeles,Silver
2121,Aiden,user2121@example.com,2024-08-30,Chicago,Standard
2122,Aiden,user2122@example.com,2022-06-29,Chicago,Gold
2123,Charlie,user2123@example.com,2023-04-05,New York,Standard
2124,Liam,user2124@example.com,2024-11-04,Los Angeles,Standard
2125,Alice,user2125@example.com,2024-03-10,Los Angeles,Standard
2126,David,user2126@example.com,2022-09-15,New York,Standard
2127,David,user2127@example.com,2023-08-16,Los Angeles,Silver
2128,Emma,user2128@example.com,2024-12-13,Houston,Standard
2129,Liam,user2129@example.com,2024-01-28,New York,Standard
2130,Liam,user2130@example.com,2024-02-18,Houston,Gold
2131,David,user2131@example.com,2024-03-18,Los Angeles,Standard
2132,Liam,user2132@example.com,2023-09-05,New York,Silver
2133,Charlie,user2133@example.com,2023-09-17,Los Angeles,Standard
2134,Sophia,user2134@example.com,2022-11-24,New York,Standard
2135,Bob,user2135@example.com,2023-10-11,Los Angeles,Gold
2136,Aiden,user2136@example.com,2023-12-05,Houston,Silver
2137,Olivia,user2137@example.com,2023-12-18,Houston,Standard
2138,Emma,user2138@example.com,2023-04-30,Los Angeles,Platinum
2139,Sophia,user2139@example.com,2024-05-03,New York,Gold
2140,David,user2140@example.com,2023-06-03,Chicago,Platinum
2141,Aiden,user2141@example.com,2024-08-01,Houston,Standard
2142,Liam,user2142@example.com,2024-07-09,Houston,Standard
2143,Olivia,user2143@example.com,2023-12-09,Chicago,Silver
2144,Liam,user2144@example.com,2024-11-28,Los Angeles,Silver
2145,Alice,user2145@example.com,2025-01-01,New York,Standard
2146,Alice,user2146@example.com,2024-03-13,Los Angeles,Silver
2147,Olivia,user2147@example.com,2023-08-04,Miami,Standard
2148,Olivia,user2148@example.com,2023-10-07,Houston,Standard
2149,David,user2149@example.com,2024-08-07,Miami,Standard
2150,Olivia,user2150@example.com,2022-11-30,Houston,Silver
2151,Charlie,user2151@example.com,2024-05-04,Houston,Standard
2152,Liam,user2152@example.com,2024-02-01,Miami,Gold
2153,Sophia,user2153@example.com,2024-05-28,Miami,Silver
2154,Mason,user2154@example.com,2025-02-07,Los Angeles,Silver
2155,Olivia,user2155@example.com,2024-12-08,Miami,Platinum
2156,Emma,user2156@example.com,2023-03-27,Los Angeles,Silver
2157,Alice,user2157@example.com,2023-05-17,Los Angeles,Platinum
2158,Charlie,user2158@example.com,2023-03-18,Los Angeles,Standard
2159,Aiden,user2159@example.com,2024-11-25,Houston,Standard
2160,Mason,user2160@example.com,2022-10-12,Houston,Standard
2161,Sophia,user2161@example.com,2023-04-27,Miami,Standard
2162,Mason,user2162@example.com,2023-06-01,Houston,Gold
2163,Olivia,user2163@example.com,2023-09-02,Miami,Standard
2164,David,user2164@example.com,2024-10-14,Houston,Silver
2165,Alice,user2165@example.com,2024-04-18,New York,Silver
2166,Alice,user2166@example.com,2022-08-26,New York,Silver
2167,Aiden,user2167@example.com,2023-03-28,Miami,Standard
2168,David,user2168@example.com,2023-03-23,Houston,Silver
2169,Liam,user2169@example.com,2022-10-23,Houston,Standard
2170,Bob,user2170@example.com,2023-02-27,Los Angeles,Standard
2171,Charlie,user2171@example.com,2024-12-19,Chicago,Silver
2172,Alice,user2172@example.com,2022-09-03,Miami,Silver
2173,Emma,user2173@example.com,2024-02-17,Chicago,Standard
2174,Alice,user2174@example.com,2023-08-20,Chicago,Gold
2175,Mason,user2175@example.com,2023-12-27,Miami,Standard
2176,Alice,user2176@example.com,2025-02-21,Houston,Standard
2177,Alice,user2177@example.com,2023-02-15,Miami,Standard
2178,Bob,user2178@example.com,2024-08-19,Chicago,Silver
2179,Bob,user2179@example.com,2024-11-17,Houston,Silver
2180,Sophia,user2180@example.com,2022-09-06,New York,Standard
2181,Liam,user2181@example.com,2024-03-21,Miami,Standard
2182,Emma,user2182@example.com,2025-01-29,Miami,Silver
2183,Alice,user2183@example.com,2023-10-28,Houston,Standard
2184,Alice,user2184@example.com,2022-10-20,New York,Standard
2185,Charlie,user2185@example.com,2023-10-14,New York,Silver
2186,Bob,user2186@example.com,2024-04-16,Houston,Standard
2187,Emma,user2187@example.com,2022-09-30,Los Angeles,Gold
2188,Aiden,user2188@example.com,2024-07-11,Miami,Standard
2189,Sophia,user2189@example.com,2023-06-26,Miami,Silver
2190,Liam,user2190@example.com,2023-03-20,Chicago,Standard
2191,David,user2191@example.com,2024-03-15,Houston,Gold
2192,Liam,user2192@example.com,2022-11-09,Chicago,Standard
2193,Mason,user2193@example.com,2024-10-25,Chicago,Silver
2194,Alice,user2194@example.com,2022-09-18,New York,Silver
2195,Sophia,user2195@example.com,2024-01-29,Miami,Standard
2196,Mason,user2196@example.com,2025-02-14,Chicago,Standard
2197,Emma,user2197@example.com,2024-12-05,New York,Silver
2198,David,user2198@example.com,2022-08-31,Houston,Gold
2199,Bob,user2199@example.com,2024-08-19,Chicago,Standard
2200,Sophia,user2200@example.com,2024-01-16,Miami,Standard
2201,Sophia,user2201@example.com,2024-07-20,Chicago,Gold
2202,Alice,user2202@example.com,2024-02-19,Houston,Standard
2203,Olivia,user2203@example.com,2023-04-05,Chicago,Platinum
2204,Sophia,user2204@example.com,2023-07-21,Miami,Silver
2205,Charlie,user2205@example.com,2025-01-31,New York,Silver
2206,David,user2206@example.com,2023-05-17,Miami,Standard
2207,David,user2207@example.com,2023-12-21,New York,Standard
2208,Charlie,user2208@example.com,2022-08-18,Los Angeles,Silver
2209,Aiden,user2209@example.com,2023-11-24,Miami,Gold
2210,Charlie,user2210@example.com,2023-12-21,Miami,Platinum
2211,Charlie,user2211@example.com,2022-12-06,Houston,Standard
2212,David,user2212@example.com,2023-05-20,Chicago,Standard
2213,Liam,user2213@example.com,2023-01-26,New York,Standard
2214,David,user2214@example.com,2023-04-02,New York,Gold
2215,Olivia,user2215@example.com,2024-12-05,Houston,Standard
2216,Alice,user2216@example.com,2024-04-04,Houston,Standard
2217,Mason,user2217@example.com,2024-10-25,Chicago,Standard
2218,Liam,user2218@example.com,2024-03-27,Chicago,Standard
2219,Bob,user2219@example.com,2023-02-10,Miami,Platinum
2220,Mason,user2220@example.com,2024-12-25,Los Angeles,Silver
2221,Alice,user2221@example.com,2024-03-27,Chicago,Standard
2222,Olivia,user2222@example.com,2024-02-20,Houston,Standard
2223,Olivia,user2223@example.com,2023-04-03,Chicago,Standard
2224,Bob,user2224@example.com,2023-06-04,New York,Standard
2225,Liam,user2225@example.com,2023-11-20,Los Angeles,Standard
2226,Aiden,user2226@example.com,2023-04-28,Miami,Silver
2227,Charlie,user2227@example.com,2023-04-27,New York,Standard
2228,Liam,user2228@example.com,2024-11-14,New York,Standard
2229,Aiden,user2229@example.com,2023-04-23,Los Angeles,Standard
2230,Olivia,user2230@example.com,2024-10-12,Miami,Silver
2231,David,user2231@example.com,2023-05-11,Houston,Silver
2232,Alice,user2232@example.com,2025-02-10,Miami,Silver
2233,Bob,user2233@example.com,2024-04-29,Chicago,Silver
2234,Alice,user2234@example.com,2022-12-13,New York,Silver
2235,Emma,user2235@example.com,2024-01-10,Chicago,Standard
2236,Emma,user2236@example.com,2022-09-07,Houston,Gold
2237,Liam,user2237@example.com,2022-10-15,Chicago,Standard
2238,Olivia,user2238@example.com,2024-07-19,Miami,Standard
2239,Olivia,user2239@example.com,2024-06-18,Chicago,Silver
2240,Charlie,user2240@example.com,2025-02-09,Houston,Standard
2241,Charlie,user2241@example.com,2024-06-27,Houston,Gold
2242,Charlie,user2242@example.com,2024-10-10,Houston,Standard
2243,David,user2243@example.com,2023-02-17,Miami,Gold
2244,Mason,user2244@example.com,2024-06-24,Houston,Gold
2245,Sophia,user2245@example.com,2024-01-24,New York,Platinum
2246,Mason,user2246@example.com,2024-06-22,Houston,Gold
2247,Alice,user2247@example.com,2023-12-16,Chicago,Gold
2248,Mason,user2248@example.com,2024-03-12,Chicago,Silver
2249,David,user2249@example.com,2024-12-07,Chicago,Standard
2250,Alice,user2250@example.com,2024-06-21,Miami,Standard
2251,Mason,user2251@example.com,2025-01-11,Chicago,Silver
2252,David,user2252@example.com,2022-09-12,Miami,Platinum
2253,Sophia,user2253@example.com,2022-08-13,Miami,Silver
2254,Mason,user2254@example.com,2024-05-28,Houston,Gold
2255,David,user2255@example.com,2023-02-27,New York,Gold
2256,Charlie,user2256@example.com,2023-10-09,Houston,Standard
2257,Olivia,user2257@example.com,2023-06-21,Houston,Standard
2258,Charlie,user2258@example.com,2022-10-01,Miami,Standard
2259,Olivia,user2259@example.com,2023-06-21,Miami,Standard
2260,Bob,user2260@example.com,2024-05-23,Chicago,Silver
2261,Bob,user2261@example.com,2024-10-24,Chicago,Platinum
2262,Bob,user2262@example.com,2023-10-11,Houston,Silver
2263,Sophia,user2263@example.com,2023-07-18,Los Angeles,Standard
2264,Charlie,user2264@example.com,2023-07-07,Los Angeles,Standard
2265,Olivia,user2265@example.com,2024-06-21,Chicago,Standard
2266,David,user2266@example.com,2024-10-01,Los Angeles,Silver
2267,Alice,user2267@example.com,2025-02-20,Chicago,Standard
2268,David,user2268@example.com,2025-02-17,Miami,Standard
2269,Alice,user2269@example.com,2024-03-15,Houston,Standard
2270,Emma,user2270@example.com,2023-12-23,New York,Standard
2271,David,user2271@example.com,2023-11-13,Houston,Gold
2272,Mason,user2272@example.com,2023-10-18,Chicago,Standard
2273,Mason,user2273@example.com,2024-05-01,Chicago,Standard
2274,Liam,user2274@example.com,2023-12-19,Houston,Standard
2275,Charlie,user2275@example.com,2023-12-02,Chicago,Standard
2276,Alice,user2276@example.com,2025-01-03,Los Angeles,Silver
2277,Alice,user2277@example.com,2025-02-19,Los Angeles,Silver
2278,Charlie,user2278@example.com,2024-12-11,Chicago,Standard
2279,Sophia,user2279@example.com,2024-05-17,Chicago,Silver
2280,Liam,user2280@example.com,2024-01-28,Los Angeles,Standard
2281,Sophia,user2281@example.com,2024-08-22,Chicago,Silver
2282,Sophia,user2282@example.com,2023-03-15,Chicago,Standard
2283,Sophia,user2283@example.com,2024-04-11,Houston,Standard
2284,Charlie,user2284@example.com,2024-01-23,New York,Silver
2285,Sophia,user2285@example.com,2023-01-01,Los Angeles,Gold
2286,Mason,user2286@example.com,2023-12-26,Houston,Silver
2287,Bob,user2287@example.com,2023-01-21,New York,Standard
2288,Emma,user2288@example.com,2022-10-05,Chicago,Standard
2289,Alice,user2289@example.com,2022-07-17,Chicago,Platinum
2290,Alice,user2290@example.com,2023-05-03,Houston,Standard
2291,Emma,user2291@example.com,2023-02-10,Chicago,Standard
2292,Charlie,user2292@example.com,2022-12-20,Miami,Standard
2293,David,user2293@example.com,2023-03-29,Houston,Standard
2294,Charlie,user2294@example.com,2022-11-02,New York,Standard
2295,Alice,user2295@example.com,2024-05-09,Houston,Standard
2296,Alice,user2296@example.com,2023-06-13,Los Angeles,Standard
2297,Emma,user2297@example.com,2024-08-27,Houston,Gold
2298,Sophia,user2298@example.com,2023-01-04,Chicago,Standard
2299,Charlie,user2299@example.com,2022-08-11,Chicago,Standard
2300,Olivia,user2300@example.com,2023-07-07,Miami,Silver
2301,Emma,user2301@example.com,2022-07-04,Miami,Silver
2302,Mason,user2302@example.com,2023-04-19,Miami,Standard
2303,Alice,user2303@example.com,2023-03-12,New York,Gold
2304,Emma,user2304@example.com,2024-03-28,Miami,Standard
2305,Charlie,user2305@example.com,2023-03-17,New York,Gold
2306,Alice,user2306@example.com,2025-01-11,Miami,Standard
2307,David,user2307@example.com,2023-08-05,New York,Standard
2308,Emma,user2308@example.com,2022-09-24,Houston,Gold
2309,Liam,user2309@example.com,2024-06-28,Houston,Silver
2310,Alice,user2310@example.com,2023-06-01,Chicago,Standard
2311,Charlie,user2311@example.com,2024-09-12,New York,Standard
2312,Bob,user2312@example.com,2024-10-15,Los Angeles,Standard
2313,Olivia,user2313@example.com,2022-07-19,Chicago,Silver
2314,Aiden,user2314@example.com,2022-08-07,Houston,Standard
2315,Sophia,user2315@example.com,2025-02-10,New York,Standard
2316,Aiden,user2316@example.com,2023-01-01,Miami,Standard
2317,Charlie,user2317@example.com,2025-02-10,Los Angeles,Silver
2318,Mason,user2318@example.com,2024-12-17,Houston,Gold
2319,Mason,user2319@example.com,2022-08-02,Chicago,Silver
2320,Bob,user2320@example.com,2023-02-25,New York,Standard
2321,Sophia,user2321@example.com,2024-12-25,Los Angeles,Gold
2322,Liam,user2322@example.com,2023-04-10,New York,Silver
2323,Bob,user2323@example.com,2024-12-27,Miami,Gold
2324,Aiden,user2324@example.com,2022-11-28,Chicago,Standard
2325,Bob,user2325@example.com,2024-09-07,New York,Standard
2326,Aiden,user2326@example.com,2023-06-19,Houston,Silver
2327,Alice,user2327@example.com,2024-09-28,Chicago,Standard
2328,Mason,user2328@example.com,2022-07-16,Houston,Silver
2329,Alice,user2329@example.com,2023-11-11,New York,Gold
2330,Olivia,user2330@example.com,2024-09-26,Chicago,Gold
2331,Sophia,user2331@example.com,2025-01-08,Houston,Platinum
2332,Liam,user2332@example.com,2024-09-03,Miami,Silver
2333,Aiden,user2333@example.com,2022-07-05,Miami,Standard
2334,Liam,user2334@example.com,2022-11-26,New York,Standard
2335,Aiden,user2335@example.com,2022-09-04,Chicago,Standard
2336,Charlie,user2336@example.com,2022-07-21,Los Angeles,Silver
2337,Bob,user2337@example.com,2023-01-27,Chicago,Standard
2338,Olivia,user2338@example.com,2024-06-03,Miami,Standard
2339,Mason,user2339@example.com,2022-10-20,Houston,Silver
2340,Aiden,user2340@example.com,2024-08-19,Los Angeles,Silver
2341,Liam,user2341@example.com,2024-08-29,New York,Platinum
2342,Olivia,user2342@example.com,2024-11-21,Los Angeles,Silver
2343,David,user2343@example.com,2023-02-09,New York,Silver
2344,David,user2344@example.com,2024-01-27,Los Angeles,Silver
2345,Alice,user2345@example.com,2024-11-02,New York,Platinum
2346,Mason,user2346@example.com,2024-04-15,New York,Silver
2347,Charlie,user2347@example.com,2024-05-25,Los Angeles,Gold
2348,Liam,user2348@example.com,2024-01-21,Los Angeles,Gold
2349,Bob,user2349@example.com,2023-01-28,New York,Gold
2350,Bob,user2350@example.com,2022-07-22,Miami,Standard
2351,Liam,user2351@example.com,2023-04-01,Los Angeles,Standard
2352,Sophia,user2352@example.com,2023-11-20,Chicago,Standard
2353,Charlie,user2353@example.com,2023-09-30,Houston,Standard
2354,Olivia,user2354@example.com,2025-01-07,New York,Standard
2355,Aiden,user2355@example.com,2022-10-02,New York,Standard
2356,Sophia,user2356@example.com,2024-07-17,Houston,Standard
2357,Aiden,user2357@example.com,2024-09-01,Miami,Silver
2358,Aiden,user2358@example.com,2022-07-06,Houston,Silver
2359,Sophia,user2359@example.com,2023-02-26,Los Angeles,Standard
2360,Alice,user2360@example.com,2024-02-03,Houston,Silver
2361,David,user2361@example.com,2023-12-24,New York,Silver
2362,Aiden,user2362@example.com,2022-11-15,Houston,Silver
2363,Sophia,user2363@example.com,2024-12-22,Chicago,Gold
2364,Sophia,user2364@example.com,2022-10-08,Los Angeles,Standard
2365,Emma,user2365@example.com,2023-05-17,Houston,Standard
2366,Alice,user2366@example.com,2024-09-03,New York,Standard
2367,Mason,user2367@example.com,2023-07-14,Los Angeles,Standard
2368,Emma,user2368@example.com,2023-11-18,New York,Silver
2369,Emma,user2369@example.com,2024-01-02,Miami,Standard
2370,Liam,user2370@example.com,2022-11-25,Chicago,Standard
2371,David,user2371@example.com,2022-08-19,Miami,Standard
2372,Sophia,user2372@example.com,2023-03-03,Chicago,Standard
2373,David,user2373@example.com,2024-08-26,Houston,Silver
2374,Charlie,user2374@example.com,2024-08-27,Los Angeles,Silver
2375,Liam,user2375@example.com,2024-07-14,Houston,Standard
2376,Mason,user2376@example.com,2022-06-28,Chicago,Standard
2377,David,user2377@example.com,2022-10-27,Chicago,Standard
2378,Bob,user2378@example.com,2024-01-30,Chicago,Standard
2379,Aiden,user2379@example.com,2023-04-29,New York,Gold
2380,Charlie,user2380@example.com,2024-11-19,Los Angeles,Standard
2381,Alice,user2381@example.com,2024-05-12,Houston,Silver
2382,Mason,user2382@example.com,2024-01-20,Houston,Gold
2383,Charlie,user2383@example.com,2023-11-29,Miami,Standard
2384,Aiden,user2384@example.com,2023-01-24,Chicago,Standard
2385,Liam,user2385@example.com,2022-09-03,Chicago,Platinum
2386,Aiden,user2386@example.com,2024-07-27,Chicago,Gold
2387,Emma,user2387@example.com,2023-01-21,Houston,Standard
2388,Aiden,user2388@example.com,2024-08-25,Miami,Silver
2389,Emma,user2389@example.com,2023-08-15,New York,Gold
2390,Liam,user2390@example.com,2024-01-20,Los Angeles,Standard
2391,Olivia,user2391@example.com,2023-09-01,New York,Gold
2392,Emma,user2392@example.com,2023-07-28,Houston,Standard
2393,Alice,user2393@example.com,2023-10-20,Chicago,Silver
2394,Aiden,user2394@example.com,2023-08-01,Los Angeles,Platinum
2395,Aiden,user2395@example.com,2022-10-04,Houston,Gold
2396,Alice,user2396@example.com,2022-08-25,Houston,Standard
2397,Bob,user2397@example.com,2023-10-23,Houston,Standard
2398,Sophia,user2398@example.com,2023-07-04,Los Angeles,Silver
2399,Olivia,user2399@example.com,2023-09-21,Los Angeles,Silver
2400,Mason,user2400@example.com,2024-06-20,Miami,Silver
2401,Emma,user2401@example.com,2022-06-29,Miami,Platinum
2402,Alice,user2402@example.com,2024-12-12,New York,Gold
2403,Liam,user2403@example.com,2023-04-04,Los Angeles,Standard
2404,Emma,user2404@example.com,2023-02-07,Los Angeles,Standard
2405,Sophia,user2405@example.com,2022-11-21,Los Angeles,Standard
2406,Liam,user2406@example.com,2024-04-16,Miami,Silver
2407,Charlie,user2407@example.com,2024-11-26,Houston,Silver
2408,Aiden,user2408@example.com,2024-11-06,Chicago,Silver
2409,Charlie,user2409@example.com,2023-01-24,Miami,Standard
2410,Emma,user2410@example.com,2022-10-15,Los Angeles,Standard
2411,Sophia,user2411@example.com,2023-01-25,Miami,Standard
2412,Olivia,user2412@example.com,2023-10-15,New York,Silver
2413,Emma,user2413@example.com,2024-06-14,Los Angeles,Standard
2414,Alice,user2414@example.com,2022-08-28,New York,Standard
2415,David,user2415@example.com,2023-07-25,Los Angeles,Standard
2416,Emma,user2416@example.com,2022-11-24,Miami,Silver
2417,Aiden,user2417@example.com,2024-08-16,Houston,Standard
2418,Aiden,user2418@example.com,2023-08-11,Chicago,Gold
2419,Emma,user2419@example.com,2024-10-12,New York,Silver
2420,Liam,user2420@example.com,2023-10-01,Miami,Silver
2421,David,user2421@example.com,2024-06-24,Houston,Silver
2422,Alice,user2422@example.com,2023-03-22,Miami,Standard
2423,Emma,user2423@example.com,2024-09-21,New York,Standard
2424,Liam,user2424@example.com,2024-09-10,Chicago,Platinum
2425,Aiden,user2425@example.com,2023-09-19,Miami,Silver
2426,Aiden,user2426@example.com,2022-11-18,Los Angeles,Platinum
2427,Sophia,user2427@example.com,2024-06-15,Houston,Silver
2428,Emma,user2428@example.com,2024-05-04,Miami,Standard
2429,David,user2429@example.com,2024-11-07,Houston,Standard
2430,Bob,user2430@example.com,2023-11-02,Los Angeles,Silver
2431,David,user2431@example.com,2023-04-28,Chicago,Standard
2432,Aiden,user2432@example.com,2023-02-05,Chicago,Standard
2433,Aiden,user2433@example.com,2022-08-17,Los Angeles,Gold
2434,Charlie,user2434@example.com,2022-08-28,Houston,Standard
2435,Aiden,user2435@example.com,2022-08-06,Miami,Standard
2436,Alice,user2436@example.com,2024-07-11,Los Angeles,Gold
2437,Mason,user2437@example.com,2024-06-26,New York,Gold
2438,Emma,user2438@example.com,2023-10-18,Houston,Standard
2439,David,user2439@example.com,2023-07-17,Chicago,Gold
2440,Mason,user2440@example.com,2023-08-02,Los Angeles,Gold
2441,Liam,user2441@example.com,2024-01-27,Chicago,Standard
2442,Bob,user2442@example.com,2024-05-15,Houston,Standard
2443,Alice,user2443@example.com,2023-01-02,Chicago,Standard
2444,David,user2444@example.com,2023-06-30,Los Angeles,Silver
2445,Mason,user2445@example.com,2025-01-19,Houston,Standard
2446,Bob,user2446@example.com,2022-12-18,New York,Platinum
2447,Charlie,user2447@example.com,2025-01-20,Los Angeles,Silver
2448,Alice,user2448@example.com,2023-12-23,Miami,Silver
2449,Alice,user2449@example.com,2022-08-29,Los Angeles,Platinum
2450,Charlie,user2450@example.com,2023-07-15,Houston,Gold
2451,Emma,user2451@example.com,2024-10-30,Los Angeles,Standard
